ToM (+2400000);Ucrt(d);Type;E,Phi;P_Shift;E GCVS;O-C (d);Observer;Reference (see bibliography);source
14000.6000;0.150;vis;-10769.33;-1;-10770;2.500;Müller & Kempf 1899;Szabados 1977;ADS
14362.3000;0.150;vis;-10672.32;-1;-10673;2.540;Astbury&Williams 1905;Astbury / Hellerich 1937;ADS
16934.8000;0.050;vis;-9982.36;-1;-9983;2.390;Astbury&Williams 1905;Meyer 2023;ADS
16938.4660;0.150;vis;-9981.38;-1;-9982;2.320;Astbury&Williams 1905;Szabados 1977;ADS
16941.9200;0.150;vis;-9980.45;-1;-9981;2.050;Astbury&Williams 1905;BAA Williams, Atsbury, 1905;ADS
16942.3000;0.150;vis;-9980.35;-1;-9981;2.430;Williams 1905;Szabados 1977;ADS
17173.3000;0.150;pg;-9918.39;-1;-9919;2.260;Henroteau & Frédette;Henroteau 1925;ADS
17173.3600;0.150;vis;-9918.38;-1;-9919;2.320;Williams 1905;Turner 2007 tab.2;ADS
17173.4590;0.150;vis;-9918.35;-1;-9919;2.420;Williams;Williams PA 1916;ADS
17639.3200;0.050;vis;-9793.40;-1;-9794;2.220;Von Zeipel;Meyer 2023;ADS
17643.0480;0.150;vis;-9792.40;-1;-9793;2.220;Zeipel 1908;Szabados 1977;ADS
17781.0700;0.050;pg;-9755.39;-1;-9756;2.290;Wendell 1913;Meyer 2023;ADS
17788.1000;0.150;vis;-9753.50;0;-9754;1.860;Wendell 1913;Szabados 1977;ADS
17788.4840;0.150;vis;-9753.40;-1;-9754;2.250;Wendell 1913;Szabados 1977;ADS
17889.2000;0.150;vis;-9726.38;-1;-9727;2.290;Kukarkin 1931;Szabados 1977;ADS
18015.9200;0.150;vis;-9692.40;-1;-9693;2.250;Kukarkin 1931;Szabados 1977;ADS
18243.0500;0.150;pg;-9631.48;-1;-9632;1.940;Duncan;Hellerich 1922;ADS
18344.0300;0.150;vis;-9604.40;-1;-9605;2.250;Kukarkin 1931;Szabados 1977;ADS
18347.2790;0.150;vis;-9603.53;0;-9604;1.770;Mergentaler 1941;Turner 2007 tab.2;ADS
18739.1800;0.150;vis;-9498.42;-1;-9499;2.180;Kukarkin 1931;Szabados 1977;ADS
18750.4000;0.050;vis;-9495.41;-1;-9496;2.210;Wunder;Meyer 2023;BAV
18921.9700;0.150;pg;-9449.39;-1;-9450;2.270;Hellerich;Hellerich 1938;ADS
18921.9740;0.150;pg;-9449.39;-1;-9450;2.280;Robinson 1930;Szabados 1977;ADS
19044.9900;0.150;vis;-9416.40;-1;-9417;2.250;Kukarkin 1931;Szabados 1977;ADS
19402.8000;0.050;vis;-9320.43;-1;-9321;2.130;Hornig;Meyer 2023;BAV
19421.4800;0.150;vis;-9315.42;-1;-9316;2.170;Hornig 1915;Szabados 1977;ADS
19451.2700;0.150;vis;-9307.43;-1;-9308;2.130;Kukarkin 1931;Szabados 1977;ADS
19507.4450;0.050;pg;-9292.36;-1;-9293;2.380;Lacchini 1921;Meyer 2023;WILNO
19689.9080;0.150;vis;-9243.43;-1;-9244;2.140;Lacchini 1921;Szabados 1977;ADS
19813.0150;0.150;vis;-9210.41;-1;-9211;2.210;Nijland 1923;Szabados 1977;ADS
19824.1300;0.150;vis;-9207.43;-1;-9208;2.140;Kukarkin 1931;Szabados 1977;ADS
19850.3100;0.050;pg;-9200.40;-1;-9201;2.220;Lacchini 1921;Meyer 2023;WILNO
19902.2600;0.150;vis;-9186.47;-1;-9187;1.970;Kaiser 1922;Szabados 1977;ADS
19928.5000;0.050;pg;-9179.43;-1;-9180;2.110;Dziewulski;Meyer 2023;WILNO
19928.5200;0.050;pg;-9179.43;-1;-9180;2.130;Dziewulski;Meyer 2023;WILNO
20036.6500;0.050;pg;-9150.43;-1;-9151;2.140;Nijland 1923;Meyer 2023;ADS
20129.9210;0.150;vis;-9125.41;-1;-9126;2.200;Nijland 1923;Szabados 1977;ADS
20133.6230;0.150;vis;-9124.42;-1;-9125;2.170;Hoffmeister 1915;Szabados 1977;ADS
20152.1700;0.050;pg;-9119.44;-1;-9120;2.070;Hoffmeister;Meyer 2023;WILNO
20375.8710;0.150;pg;-9059.45;-1;-9060;2.070;Kiess 1915;Szabados 1977;ADS
20401.9700;0.050;pg;-9052.45;-1;-9053;2.060;Kiess;Meyer 2023;WILNO
20465.3700;0.050;pg;-9035.44;-1;-9036;2.080;Nijland 1923;Meyer 2023;ADS
20495.4300;0.150;vis;-9027.38;-1;-9028;2.310;Kukarkin 1931;Szabados 1977;ADS
20502.6910;0.150;vis;-9025.43;-1;-9026;2.120;Nijland 1923;Szabados 1977;ADS
20517.5300;0.050;pg;-9021.45;-1;-9022;2.040;Nijland 1923;Meyer 2023;ADS
20909.0600;0.050;pg;-8916.44;-1;-8917;2.080;Nijland 1923;Meyer 2023;ADS
20957.4660;0.150;pe;-8903.46;-1;-8904;2.020;Eggen;Eggen et al.;ADS
20957.4780;0.150;pg;-8903.46;-1;-8904;2.030;Kukarkin 1935;Turner 2007 tab.2;ADS
20972.4340;0.150;vis;-8899.44;-1;-8900;2.070;Nijland 1923;Szabados 1977;ADS
20991.0000;0.150;vis;-8894.47;-1;-8895;1.990;Luyten 1922;Szabados 1977;ADS
21177.4200;0.050;pg;-8844.47;-1;-8845;1.990;Luyten 1922;Meyer 2023;WILNO
21278.4400;0.150;pg;-8817.37;-1;-8818;2.340;Hellerich;Hellerich 1937;ADS
21300.6340;0.150;vis;-8811.42;-1;-8812;2.160;un.;Turner 2007 tab. 3;AAVSO
21315.7020;0.050;pg;-8807.38;-1;-8808;2.320;Lacchini 1921;Meyer 2023;WILNO
21475.8790;0.150;vis;-8764.42;-1;-8765;2.170;Lacchini 1921;Szabados 1977;ADS
21565.2310;0.150;vis;-8740.45;-1;-8741;2.040;Luyten 1922;Szabados 1977;ADS
21636.3870;0.150;vis;-8721.37;-1;-8722;2.350;Lacchini 1921;Lacchini 1921;ADS
21647.1710;0.150;vis;-8718.48;-1;-8719;1.950;un.;Turner 2007 tab. 3;AAVSO
21829.9800;0.150;vis;-8669.45;-1;-8670;2.060;un.;AAVSO Berdnikov 2003;AAVSO
22728.3800;0.150;vis;-8428.49;-1;-8429;1.900;Viaro 1921;Szabados 1977;ADS
22739.7300;0.150;vis;-8425.45;-1;-8426;2.060;Kukarkin 1931;Szabados 1977;ADS
22747.1080;0.150;vis;-8423.47;-1;-8424;1.990;Henden 2006;Turner 2007 tab. 3;AAVSO
22784.2410;0.150;un.;-8413.51;0;-8414;1.830;Soloviev 1922;Turner 2007 tab.2;ADS
23112.3800;0.150;vis;-8325.50;-1;-8326;1.870;Kukarkin 1931;Szabados 1977;ADS
23239.2090;0.150;vis;-8291.48;-1;-8292;1.930;Strömgren 1928;Szabados 1977;ADS
23250.5400;0.050;pg;-8288.44;-1;-8289;2.070;Johansson;Meyer 2023;WILNO
23272.7670;0.150;vis;-8282.48;-1;-8283;1.930;Hellerich;Szabados 1977;ADS
23301.2500;0.150;pg;-8274.84;0;-8275;0.580;Hellerich;Hellerich 1937;ADS
23351.1800;0.150;vis;-8261.45;-1;-8262;2.040;Kukarkin 1931;Szabados 1977;ADS
23709.0460;0.050;pg;-8165.47;-1;-8166;1.970;Hellerich 1934;Meyer 2023;ADS
23791.1100;0.150;vis;-8143.46;-1;-8144;2.010;Hopmann 1926;Szabados 1977;ADS
23791.3600;0.050;pg;-8143.39;-1;-8144;2.260;Hopmann 1926;Meyer 2023;WILNO
23999.7700;0.150;vis;-8087.50;-1;-8088;1.880;Hellerich;Szabados 1977;ADS
24189.9700;0.050;pg;-8036.48;-1;-8037;1.920;Kowalczewski;Meyer 2023;WILNO
24193.3500;0.050;pg;-8035.58;0;-8036;1.580;Kowalczewski;Meyer 2023;WILNO
24361.4340;0.150;pg;-7990.50;-1;-7991;1.880;Kowalczewski;Szabados 1977;ADS
24741.6570;0.150;vis;-7888.52;0;-7889;1.800;Kukarkin 1940;Szabados 1977;ADS
24834.9500;0.050;pg;-7863.50;-1;-7864;1.880;Kukarkin;Meyer 2023;ADS
